timestamp,pos_x,pos_y,acc
94705,4477379.458902,589574.851101,16.100000
94805,4477379.521988,589574.862730,14.100000
94906,4477379.595110,589574.878057,14.100000
95008,4477379.659470,589574.894081,14.100000
95109,4477379.712983,589574.875714,14.100000
95213,4477379.783968,589574.879445,14.300000
95314,4477379.855204,589574.904209,14.400000
95415,4477379.913292,589574.943465,14.400000
95516,4477380.017151,589574.957576,14.400000
95622,4477380.107302,589574.976515,14.400000
95723,4477380.178382,589575.016040,14.300000
95826,4477380.279932,589575.050620,14.100000
95926,4477380.371639,589575.078956,14.100000
96026,4477380.455401,589575.129949,14.100000
96128,4477380.549401,589575.164450,14.100000
96229,4477380.663633,589575.191838,14.100000
96332,4477380.757768,589575.237618,14.100000
96435,4477380.856796,589575.274773,14.100000
96538,4477380.945568,589575.326979,14.100000
96675,4477381.148811,589575.426503,14.100000
96775,4477381.235098,589575.475091,14.100000
96881,4477381.329546,589575.537747,14.100000
96981,4477381.438184,589575.589461,14.100000
97084,4477381.545549,589575.636779,14.100000
97184,4477381.647844,589575.696457,14.100000
97286,4477381.740071,589575.768300,14.100000
97388,4477381.845331,589575.825313,14.100000
97491,4477381.956358,589575.891079,14.100000
97595,4477382.065445,589575.952372,14.100000
97697,4477382.166630,589576.030639,14.100000
97797,4477382.286605,589576.101980,14.100000
97900,4477382.396411,589576.177091,14.100000
98001,4477382.511343,589576.244421,14.100000
98103,4477382.618282,589576.321177,14.100000
98205,4477382.730339,589576.398721,14.100000
98306,4477382.849332,589576.471516,14.100000
98407,4477382.958545,589576.552740,14.100000
98510,4477383.079639,589576.634077,14.100000
98611,4477383.202335,589576.700806,14.100000
98712,4477383.314011,589576.783697,14.100000
98815,4477383.427557,589576.865209,14.100000
98916,4477383.559415,589576.936833,14.100000
99018,4477383.673298,589577.018595,14.100000
99119,4477383.798222,589577.095306,14.100000
99220,4477383.922596,589577.172448,14.100000
99322,4477384.035664,589577.260327,14.100000
99422,4477384.146043,589577.336872,14.100000
99523,4477384.276820,589577.420299,14.100000
99623,4477384.391599,589577.502729,14.100000
99726,4477384.512012,589577.582802,14.100000
99826,4477384.642623,589577.661650,14.100000
99927,4477384.770577,589577.750369,14.100000
100028,4477384.897513,589577.837489,14.100000
100132,4477385.031993,589577.933424,14.100000
100233,4477385.170884,589578.026932,14.100000
100333,4477385.304700,589578.132376,14.100000
100437,4477385.449549,589578.232004,14.100000
100538,4477385.589976,589578.333297,14.100000
100647,4477385.873582,589578.543060,14.100000
100749,4477386.004872,589578.641494,14.100000
100855,4477386.151522,589578.743306,14.100000
100955,4477386.291695,589578.841888,14.100000
101059,4477386.433886,589578.951387,14.100000
101161,4477386.570055,589579.058584,14.100000
101262,4477386.702144,589579.177450,14.100000
101363,4477386.852746,589579.284728,14.100000
101465,4477387.003778,589579.400144,14.100000
101565,4477387.142160,589579.525296,14.100000
101666,4477387.288668,589579.633726,14.100000
101767,4477387.433352,589579.766013,14.100000
101868,4477387.589127,589579.888158,14.100000
101969,4477387.738280,589580.013520,14.100000
102070,4477387.889728,589580.154462,14.100000
102170,4477388.049616,589580.286313,14.100000
102273,4477388.203850,589580.428070,14.100000
102376,4477388.351385,589580.575929,14.100000
102476,4477388.526969,589580.711323,14.100000
102579,4477388.677295,589580.851261,14.100000
102684,4477388.842164,589580.981864,14.100000
102786,4477389.002779,589581.128040,14.100000
102887,4477389.160142,589581.271541,14.100000
102990,4477389.328276,589581.406007,14.100000
103091,4477389.494512,589581.548808,14.100000
103194,4477389.649154,589581.696837,14.100000
103295,4477389.817430,589581.833845,14.100000
103396,4477389.973086,589581.983134,14.100000
103497,4477390.133405,589582.132452,14.100000
103598,4477390.292681,589582.278051,14.100000
103704,4477390.443196,589582.433763,14.100000
103805,4477390.602931,589582.580628,14.100000
103905,4477390.766962,589582.724727,14.100000
104006,4477390.925538,589582.886111,14.100000
104108,4477391.072290,589583.052046,14.100000
104210,4477391.241407,589583.203719,14.100000
104311,4477391.380848,589583.380259,14.100000
104413,4477391.532577,589583.544693,14.100000
